Rank,score_rank,Koleksi,score_koleksi,Winrate,score_winrate,total match,score_total match,
Warior - gm,1,Kolektor Amatir 1,1,< 45%,1,< 1500,6,
epic - legend,2,Kolektor Amatir 2,2,45-50%,2,1500-2000,5,
mythic,3,Kolektor Amatir 3,3,51-55%,3,2000-3000,4,
honor,4,Kolektor Amatir 4,4,56-60%,4,3000-4000,3,
glory,5,Kolektor Amatir 5,5,61-70%,5,4000-5000,2,
immortal < 500,6,Kolektor Junior 1,6,> 70%,6,> 5000,1,
immortal > 500,7,Kolektor Junior 2,7,,,,,
,,Kolektor Junior 3,8,,,,,
,,Kolektor Junior 4,9,,,,,
,,Kolektor Junior 5,10,,,,,
,,Kolektor Senior 1,11,,,,,
,,Kolektor Senior 2,12,,,,,
,,Kolektor Senior 3,13,,,,,
,,Kolektor Senior 4,14,,,,,
,,Kolektor Senior 5,15,,,,,
,,Kolektor Ahli 1,16,,,,,
,,Kolektor Ahli 2,17,,,,,
,,Kolektor Ahli 3,18,,,,,
,,Kolektor Ahli 4,19,,,,,
,,Kolektor Ahli 5,20,,,,,
,,Kolektor Ternama 1,21,,,,,
,,Kolektor Ternama 2,22,,,,,
,,Kolektor Ternama 3,23,,,,,
,,Kolektor Ternama 4,24,,,,,
,,Kolektor Ternama 5,25,,,,,
,,Kolektor Terhormat 1,26,,,,,
,,Kolektor Terhormat 2,27,,,,,
,,Kolektor Terhormat 3,28,,,,,
,,Kolektor Terhormat 4,29,,,,,
,,Kolektor Terhormat 5,30,,,,,
,,Kolektor Juragan 1,31,,,,,
,,Kolektor Juragan 2,32,,,,,
,,Kolektor Juragan 3,33,,,,,
,,Kolektor Juragan 4,34,,,,,
,,Kolektor Juragan 5,35,,,,,
,,Kolektor Sultan,36,,,,,
